profileID,respID,qID,altID,obsID,price,type,freshness,image
83,1,1,1,1,2,Honeycrisp,Poor,honeycrisp.jpg
85,1,1,2,1,2,Red Delicious,Poor,redDelicious.jpg
32,1,1,3,1,4,Gala,Excellent,gala.jpg
21,1,2,1,2,3,Fuji,Excellent,fuji.jpg
38,1,2,2,2,1,Honeycrisp,Average,honeycrisp.jpg
27,1,2,3,2,3.5,Gala,Excellent,gala.jpg
38,1,3,1,3,1,Honeycrisp,Average,honeycrisp.jpg
36,1,3,2,3,1,Fuji,Average,fuji.jpg
30,1,3,3,3,3.5,Red Delicious,Excellent,redDelicious.jpg
73,1,4,1,4,1,Honeycrisp,Poor,honeycrisp.jpg
1,1,4,2,4,1,Fuji,Excellent,fuji.jpg
54,1,4,3,4,2.5,Pink Lady,Average,pinkLady.jpg
21,1,5,1,5,3,Fuji,Excellent,fuji.jpg
28,1,5,2,5,3.5,Honeycrisp,Excellent,honeycrisp.jpg
88,1,5,3,5,2.5,Honeycrisp,Poor,honeycrisp.jpg
7,1,6,1,6,1.5,Gala,Excellent,gala.jpg
13,1,6,2,6,2,Honeycrisp,Excellent,honeycrisp.jpg
90,1,6,3,6,2.5,Red Delicious,Poor,redDelicious.jpg
61,2,1,1,7,3.5,Fuji,Average,fuji.jpg
77,2,1,2,7,1.5,Gala,Poor,gala.jpg
16,2,1,3,7,2.5,Fuji,Excellent,fuji.jpg
74,2,2,1,8,1,Pink Lady,Poor,pinkLady.jpg
54,2,2,2,8,2.5,Pink Lady,Average,pinkLady.jpg
2,2,2,3,8,1,Gala,Excellent,gala.jpg
76,2,3,1,9,1.5,Fuji,Poor,fuji.jpg
6,2,3,2,9,1.5,Fuji,Excellent,fuji.jpg
94,2,3,3,9,3,Pink Lady,Poor,pinkLady.jpg
38,2,4,1,10,1,Honeycrisp,Average,honeycrisp.jpg
68,2,4,2,10,4,Honeycrisp,Average,honeycrisp.jpg
61,2,4,3,10,3.5,Fuji,Average,fuji.jpg
105,2,5,1,11,4,Red Delicious,Poor,redDelicious.jpg
85,2,5,2,11,2,Red Delicious,Poor,redDelicious.jpg
19,2,5,3,11,2.5,Pink Lady,Excellent,pinkLady.jpg
85,2,6,1,12,2,Red Delicious,Poor,redDelicious.jpg
33,2,6,2,12,4,Honeycrisp,Excellent,honeycrisp.jpg
45,2,6,3,12,1.5,Red Delicious,Average,redDelicious.jpg
14,3,1,1,13,2,Pink Lady,Excellent,pinkLady.jpg
97,3,1,2,13,3.5,Gala,Poor,gala.jpg
67,3,1,3,13,4,Gala,Average,gala.jpg
65,3,2,1,14,3.5,Red Delicious,Average,redDelicious.jpg
29,3,2,2,14,3.5,Pink Lady,Excellent,pinkLady.jpg
89,3,2,3,14,2.5,Pink Lady,Poor,pinkLady.jpg
5,3,3,1,15,1,Red Delicious,Excellent,redDelicious.jpg
31,3,3,2,15,4,Fuji,Excellent,fuji.jpg
52,3,3,3,15,2.5,Gala,Average,gala.jpg
103,3,4,1,16,4,Honeycrisp,Poor,honeycrisp.jpg
37,3,4,2,16,1,Gala,Average,gala.jpg
65,3,4,3,16,3.5,Red Delicious,Average,redDelicious.jpg
